"","Gene.symbol","Astrocytes","Neuron","Oligodendrocyte.Precursor.Cell","Newly.Formed.Oligodendrocyte","Myelinating.Oligodendrocytes","Microglia","Endothelial.Cells"
"225","Tubb2c",52,109.5,70.4,45.2,38.8,19.1,46.4
"226","Uba1",41.7,109.4,113.7,106.8,70.2,85.5,80.3
"227","Hn1",11.4,109.3,50.3,14.6,5.5,69.8,23.7
"228","Ddx39b",105.3,108.9,126,111.8,60.9,131,56.3
"229","Mapk8ip1",28.6,108.9,46,195.7,375.8,15.9,3
"230","Syn2",10.8,108.8,23.7,6.1,5.4,4.3,0.7
"231","Tubb4",4,108.4,103.4,1144,1079.1,8.4,2.6
"232","2900097C17Rik",43.1,108.3,51.3,40.8,40,21,16.6
"233","Npdc1",55.5,108.2,96.9,75.5,59,6.8,37.6
"234","Ywhaq",37.3,108.1,74.5,263.6,266.2,26,113.8
"235","Hnrnpa0",43.6,108.1,87.9,49,16,55.3,75.9
"236","Rhob",334.8,107.7,153,138,239,2170.7,519.7
"237","Wsb1",272.2,107.4,93,40.5,4.6,63.8,84.5
"238","Cdc42",91.5,107.4,162.7,197.6,165.3,190.3,303.1
"239","Dbn1",22.5,107.1,25.9,5.9,4,4.3,9.8
"240","Fkbp1a",31.9,107.1,108.8,330.8,568.1,45.1,243.9
"241","Ppp2r2c",0.5,107.1,19.9,37.6,89.7,10,0.5
"242","Gabbr1",214.5,106.7,55.3,22,24.4,7.6,4.2
"243","Pabpn1",141.7,106.3,81.1,60.5,17.8,28.2,37
"244","Cadm3",5.4,106,34.1,39.4,10,1.8,0.4
"245","Rplp1",57.8,105.9,158.8,195.2,197.7,760.7,422.1
"246","Nrn1",6.8,105.3,11.6,2.3,3.3,2.1,0.5
"247","Mdh1",44.7,105.3,79.8,54.7,43.5,59.8,30.4
"248","Atp5d",51.4,105.1,90.1,97.4,101.7,127.3,130.8
"249","Slc38a2",40.7,105,73.8,69.5,38.5,35.1,298
"250","Srsf2",112.2,104.6,97.3,85.3,26.1,144,80.1
"251","Atp9a",12.2,104.5,96.7,129.2,123.2,6,12.1
"252","Bin1",7.9,104.1,34.5,143.4,182.8,279.4,13.3
"253","Arf1",51.1,104.1,109.9,122,93.4,227.2,201.1
"254","Rac1",84,103.5,167.7,296.4,200.1,138.3,162.7
"255","Prkar1b",0.9,103.5,18.8,11.3,10.6,11.9,1.7
"256","Dpysl5",1,103.3,1.3,2.2,3.4,0.7,0.3
"257","Evl",11.3,103.2,32.7,16.5,12.9,89.9,32.4
"258","Sept5",25.2,103.1,55.5,189.8,38.8,33.4,16.3
"259","Arl6ip1",84.5,102.9,228.2,133.2,119.4,89.4,95.4
