"","Gene.symbol","Astrocytes","Neuron","Oligodendrocyte.Precursor.Cell","Newly.Formed.Oligodendrocyte","Myelinating.Oligodendrocytes","Microglia","Endothelial.Cells"
"12116","Micall2",6.1,0.7,1.4,1.3,0.3,0.2,4.5
"12117","Ccl7",0.3,0.7,5.4,0.1,0.2,102.7,0.2
"12118","Syt12",2.1,0.7,3.7,0.5,0.4,0.5,2.6
"12119","Htr1f",0.1,0.7,0.3,0.1,0.1,0.1,0.1
"12120","Irs4",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12121","Tmie",1.6,0.7,2.2,0.4,0.1,0.1,0.1
"12122","Kif18a",4.2,0.7,1.8,0.2,0.1,0.1,2.1
"12123","Itprip",3.5,0.7,3,0.6,0.4,11.4,21.1
"12124","Gpsm3",1,0.7,2.1,0.3,0.6,49.9,4.7
"12125","Sdr42e1",0.5,0.7,3.5,0.8,1,0.4,0.4
"12126","Zfp182",1.4,0.7,0.9,0.4,0.2,0.1,0.6
"12127","Rps16",0.3,0.7,0.3,0.6,0.1,0.8,1.7
"12128","Il1rapl2",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12129","Hist2h3b",1,0.7,0.9,1.1,2.6,2.1,0.4
"12130","Hhat",0.4,0.7,0.7,0.4,0.1,1.7,1.6
"12131","Fst",1.2,0.7,0.1,0.1,0.1,0.1,0.1
"12132","Cd97",4.3,0.7,2.7,0.2,0.2,8,74.5
"12133","Apobec1",3.8,0.7,1.1,0.1,0.2,8.4,1
"12134","E130114P18Rik",2.7,0.7,2.7,0.3,0.1,0.1,0.2
"12135","Zfp105",1.8,0.7,1.6,0.9,0.2,0.5,1.3
"12136","Enkur",2.3,0.7,0.2,0.1,0.1,0.1,0.3
"12137","Ankdd1b",0.4,0.7,0.7,0.5,0.2,0.1,0.2
"12138","Slc16a8",0.1,0.7,0.2,2.2,0.6,0.1,0.1
"12139","A830093I24Rik",8.5,0.7,1.9,1.2,0.5,0.1,0.2
"12140","D830015G02Rik",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12141","Stac3",0.5,0.7,0.3,0.2,0.1,0.4,0.3
"12142","Gm266",10.4,0.7,1,0.1,0.5,0.4,0.2
"12143","Col2a1",1.5,0.7,0.6,3.5,0.2,0.1,0.1
"12144","Mpzl3",0.4,0.7,0.9,0.8,0.1,0.1,1.4
"12145","Chd1l",4.1,0.7,2.9,3,2.1,2.8,5.5
"12146","E430018J23Rik",0.5,0.7,0.9,0.5,0.6,1.5,2.5
"12147","Cage1",0.4,0.7,0.3,0.2,0.1,0.1,0.4
"12148","Tssk6",0.5,0.7,0.9,0.7,0.5,1.2,0.9
"12149","Kif19a",0.3,0.7,1.9,52.4,11.7,0.5,0.1
"12150","Kdr",2.3,0.7,0.8,0.2,0.3,1.2,268.2
"12151","Zfp174",0.6,0.7,0.6,0.6,0.3,0.1,0.2
"12152","Wipf1",3.2,0.7,22.8,22.2,13.7,16.2,3.9
"12153","Lama4",6.6,0.7,3.7,1.5,0.2,0.2,112.4
"12154","Arhgap19",1.7,0.7,3.1,0.9,0.3,11.9,1.3
"12155","Ube2t",1.4,0.7,2.2,0.6,0.5,1.6,1
"12156","Gm10638",0.2,0.7,0.2,0.2,0.2,0.3,1.4
"12157","Adam12",0.9,0.7,16.8,5.9,2,0.1,0.4
"12158","Bbs12",1.3,0.7,1.7,0.4,0.1,0.3,0.5
"12159","Acp1",0.6,0.7,1,0.5,0.2,0.2,0.7
"12160","4930579G18Rik",0.8,0.7,0.6,0.3,0.1,0.2,0.1
"12161","Plcd4",34,0.7,1.5,0.1,0.5,0.3,0.1
"12162","Cflar",3.2,0.7,2.1,0.7,0.6,8.1,5.3
"12163","Slc39a8",2.3,0.7,1.2,0.1,0.1,4.5,188.2
"12164","Ctsh",1.5,0.7,10.1,0.5,1.1,175.9,212.3
"12165","Gsta3",0.3,0.7,0.4,0.3,0.2,0.1,0.1
"12166","Smtnl2",0.2,0.7,1.7,3.1,8,0.1,0.2
"12167","BC055324",1,0.7,1.8,0.4,0.1,0.4,1.1
"12168","Zfp748",1.9,0.7,1.7,1.2,0.7,0.3,1.7
"12169","Papln",0.2,0.7,0.1,0.1,0.1,0.1,1.2
"12170","Htr5a",0.4,0.7,1.4,0.3,0.1,0.1,0.1
"12171","Slc27a2",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12172","Zfp120",1.3,0.7,1.2,0.7,0.3,0.5,1.4
"12173","Ctsk",0.6,0.7,3,12,20.5,0.3,3.4
"12174","Mog",0.1,0.7,2.4,509.8,1720.8,0.9,0.1
"12175","Zbtb7c",1,0.7,1,0.2,0.1,0.1,0.1
"12176","Fam101a",0.3,0.7,0.5,0.2,0.1,0.1,3.4
"12177","Tmco7",1.1,0.7,0.9,0.5,0.3,1.1,2.7
"12178","Fam151b",0.9,0.7,2.7,2.7,2.4,1.6,1.2
"12179","Tns1",7.9,0.7,1.3,3.2,2.3,5.6,15
"12180","Efhc2",0.1,0.7,0.1,0.1,0.1,0.1,0.4
"12181","Rps23",0.4,0.7,1.2,1.4,0.8,1.1,1.1
"12182","Col15a1",0.1,0.7,12.3,0.3,0.2,7.6,2.4
"12183","Grrp1",0.3,0.7,0.2,0.1,0.1,0.6,26.8
"12184","Nfkb2",4,0.7,2.2,2.4,1.8,66,14.3
"12185","Creb3l2",4.3,0.7,3.9,12.7,6.8,9.6,11.1
"12186","Nfatc4",1.8,0.7,0.2,0.1,0.1,0.1,2.9
"12187","Psg16",0.1,0.7,0.2,0.1,0.1,0.1,0.1
"12188","Drd5",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12189","Fanci",1.1,0.7,1.6,0.3,0.1,0.2,0.6
"12190","Tmprss7",4.6,0.7,1.8,0.2,0.1,0.1,0.1
"12191","St3gal6",3,0.7,17.9,3.4,1.1,53.1,119.9
"12192","Bcl6b",0.7,0.7,1.9,0.3,0.1,1.2,55.6
"12193","Mutyh",1.9,0.7,1.6,0.9,0.5,0.7,0.8
"12194","Rnf135",1.8,0.7,1.5,1.7,4.9,8,2.7
"12195","Ccl17",0.1,0.7,0.6,0.5,0.3,1.3,0.2
"12196","4930432K21Rik",0.4,0.7,0.3,0.4,0.6,0.2,0.3
"12197","Hist1h4h",0.3,0.7,0.5,5.7,13.6,0.8,2.2
"12198","Xlr3b",4.5,0.7,1.5,1,0.4,0.4,4.5
"12199","Il12a",0.1,0.7,0.1,0.1,0.2,0.1,0.1
"12200","Bmf",0.3,0.7,0.9,2.6,4.4,15.8,3.3
"12201","1700001O22Rik",2.1,0.7,3.3,0.8,0.7,0.3,0.8
"12202","Apoc1",3.7,0.7,0.4,0.1,0.2,6.9,0.1
"12203","P2rx7",5.1,0.7,21,4.5,0.6,27.8,0.8
"12204","Hbq1b",0.1,0.7,0.8,0.1,0.3,0.2,0.5
"12205","9230114K14Rik",0.4,0.7,1.1,0.9,0.4,0.1,0.6
"12206","Gprc5c",0.2,0.7,0.2,0.1,0.1,0.9,1.3
"12207","S1pr2",1.9,0.7,9.5,2,0.3,8.5,0.9
"12208","A330049M08Rik",0.1,0.7,2.1,2.5,0.6,0.2,0.5
"12209","Il17rc",1.4,0.7,0.5,0.1,0.2,0.2,7.2
"12210","F630043A04Rik",1.6,0.7,2.8,0.4,0.1,0.2,2.1
"12211","Ppp1r3g",22.5,0.7,2.3,0.1,0.7,1.1,0.1
"12212","Mtag2",0.1,0.7,0.6,0.4,0.2,0.1,0.1
"12213","C130060K24Rik",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12214","Clcn1",0.1,0.7,0.2,0.1,0.1,0.1,0.1
"12215","Pld5",0.1,0.7,0.5,0.1,0.1,0.1,0.1
"12216","4632427E13Rik",0.9,0.7,0.3,0.4,0.1,0.1,0.2
"12217","Immp2l",0.6,0.7,3.6,2.6,2.1,5.1,2.1
"12218","Parp16",1.5,0.7,1.2,0.4,0.1,2.4,3.4
"12219","2010001M06Rik",0.3,0.7,0.1,0.1,0.4,0.4,0.1
"12220","Slc25a35",4.4,0.7,2.5,2.4,3,1.5,0.8
"12221","1700123M08Rik",0.5,0.7,0.9,0.3,0.3,0.4,0.6
"12222","6430411K18Rik",0.1,0.7,0.1,0.1,0.2,0.5,0.1
"12223","Tmc4",1.9,0.7,0.2,0.2,0.1,0.2,1.5
"12224","2310068J16Rik",0.3,0.7,0.1,0.3,0.2,0.4,0.2
"12225","Spata9",0.4,0.7,0.3,0.3,0.3,0.1,0.3
"12226","Rttn",1.6,0.7,1.5,0.8,0.3,0.6,1.2
"12227","Atp4a",0.3,0.7,1,0.6,0.1,0.1,0.1
"12228","Ch25h",0.3,0.7,1.2,0.1,0.1,48.4,0.6
"12229","Hist1h2bg",3.2,0.7,1.1,4.4,5.5,2.5,1
"12230","H2-Q6",0.5,0.7,1.1,0.1,0.1,10.7,7.5
"12231","Chst14",2,0.7,2.4,1.4,1.1,3.7,3.3
"12232","2810002D19Rik",0.5,0.7,1.2,0.7,0.3,0.4,1.5
"12233","Mctp2",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12234","Trpc6",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12235","Asprv1",0.2,0.7,0.3,0.2,0.1,0.7,0.1
"12236","Snora75",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12237","Gm16701",0.1,0.7,0.1,0.1,0.1,0.1,0.2
"12238","Rnu12",1.9,0.7,0.6,0.1,0.1,2.1,1.1
"12239","Mov10",2,0.7,1.2,0.4,0.1,4.4,1.3
"12240","Tmem30c",0.2,0.7,0.3,0.1,0.1,0.1,0.1
"12241","A330093E20Rik",1,0.7,0.1,0.1,0.1,0.1,0.1
"12242","Sema3e",0.2,0.7,0.9,2.6,0.3,0.1,0.1
"12243","Hist3h2bb-ps",0.3,0.7,0.6,0.2,0.1,0.1,0.1
"12244","Trim25",1.9,0.7,5,1.9,0.3,4.9,26
"12245","Helb",2.3,0.7,1.6,0.9,0.3,0.9,1.2
"12246","LOC626082",0.1,0.7,1.9,0.5,0.2,0.1,0.1
"12247","Exoc3l",0.4,0.7,0.2,0.2,0.1,0.1,24.7
"12248","Oscar",0.3,0.7,0.2,0.2,0.1,0.1,0.1
"12249","Aurkb",2.3,0.7,2.9,0.3,0.1,0.6,2.1
"12250","Akr1b3",0.3,0.7,1.6,1,0.9,3.6,0.3
"12251","1810014B01Rik",2.5,0.7,4.3,2,0.6,1,1.2
"12252","Pus7l",1.9,0.7,2.5,2.4,1,0.6,1
"12253","1700088E04Rik",1.4,0.7,1.4,0.5,0.3,0.3,0.8
"12254","Sox18",0.5,0.7,0.3,0.1,0.1,1.2,48.6
"12255","Pou4f1",0.1,0.7,0.1,0.3,0.1,0.1,0.1
"12256","Barx2",0.1,0.7,2,11.2,12.8,0.2,0.1
"12257","Rps18",0.5,0.7,0.5,0.6,0.4,1.3,2.6
"12258","Tmem144",12.8,0.7,19,5.5,3.7,5.3,1.9
"12259","Ccdc163",1.9,0.7,2.5,4.6,3.2,3.2,4.5
"12260","AU021092",1,0.7,0.3,0.1,0.1,0.4,300.3
"12261","Hist1h4n",0.7,0.7,0.3,1.9,2.2,0.4,0.2
"12262","Zfp59",1,0.7,0.8,0.4,0.2,0.3,0.3
"12263","Gm10406",0.2,0.7,0.6,0.3,0.1,0.6,0.3
"12264","Hck",0.1,0.7,2.6,0.2,0.3,103,0.1
"12265","Pdgfrl",8,0.7,13,1.7,0.1,0.1,1.1
"12266","Ptpn14",0.3,0.7,3.3,3.2,0.1,0.1,2.5
"12267","1810024B03Rik",2.4,0.7,2.5,3.2,2.8,4.1,3.7
"12268","Cdk18",0.1,0.7,0.3,40.3,32.8,3.7,0.1
"12269","Pthlh",0.2,0.7,0.2,0.1,0.1,0.1,0.6
"12270","Fancb",0.9,0.7,1.4,1,0.3,0.3,0.4
"12271","4930444P10Rik",0.2,0.7,0.2,0.1,0.1,0.2,0.1
"12272","Plekhh1",0.8,0.7,1.2,19.8,36.6,0.1,3.5
"12273","Ptgs2",6.3,0.7,1.3,0.2,0.1,6,18.1
"12274","Zfp809",3.6,0.7,2.3,3.6,1.1,0.8,1.9
"12275","Zfp780b",0.9,0.7,0.9,0.4,0.3,0.1,0.3
"12276","Mitf",0.9,0.7,1.3,2.8,1.4,1.8,0.3
"12277","Lonrf3",21.3,0.7,3.7,0.8,0.2,4,3
"12278","Pygm",5.6,0.7,4.8,0.3,1.6,9.6,1.8
"12279","Chrm5",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12280","Ncapg",2.6,0.7,3.1,1.7,0.4,0.1,1.9
"12281","Mamdc4",2.2,0.7,0.6,0.7,0.1,0.4,0.2
"12282","Utp23",1.6,0.7,1.3,1.1,1.2,1.6,0.9
"12283","1700019G17Rik",6.8,0.7,2.6,0.9,1,0.3,0.9
"12284","Dnd1",0.4,0.7,0.6,0.5,0.3,0.3,0.2
"12285","Hist2h2bb",0.6,0.7,0.5,0.4,0.4,0.2,0.1
"12286","Lgals7",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12287","1700028K03Rik",1.2,0.7,0.4,0.2,0.1,0.1,0.1
"12288","Gpr34",0.1,0.7,27.5,1.1,2.3,156.8,0.2
"12289","Galr1",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12290","Pcdha1",0.1,0.7,0.1,0.1,0.1,0.1,0.1
"12291","Nhsl2",0.1,0.7,0.2,1.4,0.2,0.3,1.2
"12292","Stard13",3.6,0.7,6.8,10.2,2.5,0.1,27.6
"12293","Nrn1l",0.2,0.7,0.5,0.5,0.5,0.1,0.1
"12294","Ttc38",1.8,0.7,1.7,1.7,1.1,1.6,2.4
"12295","Usp51",1.7,0.6,1.8,0.3,0.1,0.1,0.1
"12296","Gatsl3",7.4,0.6,1.1,0.1,0.2,10.1,15.7
"12297","Adamts8",0.3,0.6,1,0.1,0.1,0.1,2.6
"12298","Nedd1",5.2,0.6,3.2,2,1.1,0.8,4.7
"12299","Spc24",1.1,0.6,4.5,0.4,0.1,0.5,2.2
"12300","Fhod1",3.3,0.6,1.2,0.2,0.1,30.1,3.3
"12301","Gas2l3",0.9,0.6,1.7,0.7,0.1,3.7,5.4
"12302","Aldh3b1",0.7,0.6,1.4,13.7,14.1,11,1
"12303","Zfhx4",0.7,0.6,1.5,0.6,0.2,0.1,0.1
"12304","Lrrc10b",0.7,0.6,0.5,0.3,0.3,0.4,0.1
"12305","Agxt2l2",0.9,0.6,1,0.7,0.4,0.9,1.7
"12306","Kcns1",0.1,0.6,0.3,0.1,0.1,0.2,0.1
"12307","Slc26a1",2.1,0.6,1.8,1.6,0.6,0.1,0.1
"12308","Snora74a",0.2,0.6,0.1,0.1,0.5,0.1,0.1
"12309","Prr16",0.4,0.6,2.1,0.4,0.1,0.1,0.1
"12310","4930578N16Rik",1.7,0.6,1,0.4,0.2,0.2,0.6
"12311","Tmem170",2.1,0.6,2.2,6.3,4.9,0.5,2.7
"12312","Hjurp",1.3,0.6,1.9,0.8,0.1,0.6,2.1
"12313","Eda2r",0.3,0.6,1.7,0.8,0.1,0.1,0.2
"12314","E530011L22Rik",1.9,0.6,1.1,0.6,0.4,0.2,0.1
"12315","4930429B21Rik",0.7,0.6,1.1,0.5,0.4,0.3,0.1
"12316","Gm9897",2.2,0.6,1.3,0.5,0.3,0.1,0.4
"12317","Ect2",2.5,0.6,5.7,0.7,0.1,0.1,2.5
"12318","Procr",0.9,0.6,0.2,0.1,0.1,1.4,31.3
"12319","Wnk4",0.1,0.6,0.4,0.1,0.1,0.1,0.6
"12320","Prr11",1.8,0.6,3.2,1.2,0.5,0.2,1.1
"12321","1700029J11Rik",0.1,0.6,0.1,0.3,0.1,0.3,0.4
"12322","Myh14",7.9,0.6,4,6.8,10,0.2,0.1
"12323","4930447C04Rik",0.1,0.6,0.3,0.1,0.1,0.1,0.1
"12324","Sdcbp2",0.6,0.6,0.1,0.4,0.3,0.2,7
"12325","H2-Q2",0.1,0.6,0.6,0.2,0.1,11,1.4
"12326","5430402O13Rik",0.2,0.6,0.2,0.2,0.4,0.1,0.1
"12327","Vegfc",2.2,0.6,1.9,0.3,0.1,0.1,10
"12328","G730013B05Rik",0.1,0.6,0.1,0.1,0.1,0.1,0.1
"12329","Epha2",1.5,0.6,2.3,0.1,0.1,30.5,49.1
"12330","Clrn1",0.1,0.6,0.1,0.1,0.2,0.1,0.1
"12331","Ctrl",0.7,0.6,0.4,0.2,0.1,0.2,0.2
"12332","Gm16381",0.5,0.6,0.6,0.7,1.5,0.7,1.1
"12333","Hey2",14.3,0.6,5.5,2.7,0.1,0.1,1.2
"12334","Rpl35",0.3,0.6,0.5,1,0.4,2.1,4.2
"12335","Hist1h4a",0.9,0.6,0.2,0.7,1.2,0.2,0.8
"12336","Bend7",1.3,0.6,3.8,2.7,0.6,0.1,2.5
"12337","Sh3bgr",0.3,0.6,0.2,0.2,0.1,0.1,1.1
"12338","Tor3a",8.5,0.6,7.7,1.6,0.7,42.2,3.7
"12339","Fam115c",0.4,0.6,0.3,0.1,0.1,0.1,5.2
"12340","Slc25a24",0.7,0.6,1,0.5,0.1,0.2,7.5
"12341","Gm1661",0.4,0.6,0.1,0.1,0.1,0.1,0.1
"12342","Gsto2",0.6,0.6,0.8,2.7,3.2,0.4,0.4
"12343","Slc16a4",0.9,0.6,0.4,0.2,0.1,0.1,112.4
"12344","Trim65",1.2,0.6,0.8,0.5,0.5,2.2,0.8
"12345","Gjc2",0.3,0.6,0.7,147.4,207.2,0.4,0.1
"12346","D130040H23Rik",2.5,0.6,0.7,0.4,0.1,0.1,0.3
"12347","Casp1",1.1,0.6,0.7,0.1,0.1,4.2,0.1
"12348","Gal3st4",6,0.6,2.4,0.4,0.4,57.5,0.1
"12349","Col4a5",9.2,0.6,4.8,0.1,0.1,0.1,0.4
"12350","Snai2",0.4,0.6,0.2,0.1,0.1,0.1,3.3
"12351","Cxcl2",2,0.6,1.3,0.1,0.2,130.6,31.2
"12352","Tanc1",4.5,0.6,8,3.1,1.2,0.1,11.1
"12353","Lhfpl1",0.2,0.6,0.1,0.1,0.1,0.1,0.1
"12354","BC031361",0.5,0.6,0.3,0.3,0.1,0.1,0.2
"12355","Eltd1",1.7,0.6,0.6,0.1,0.1,0.3,369.7
"12356","Frmd7",0.1,0.6,2.6,0.4,0.1,0.1,0.1
"12357","Cyp2s1",0.1,0.6,0.2,0.1,0.1,0.1,0.1
"12358","Zscan12",2.3,0.6,1.1,0.8,0.4,0.3,0.9
"12359","Scube2",0.2,0.6,0.1,0.1,0.1,0.1,0.8
"12360","Zpbp",0.1,0.6,0.2,0.1,0.1,0.1,0.1
"12361","Klk8",0.1,0.6,2,0.5,0.3,23,17
"12362","Acsf2",8.7,0.6,0.6,0.1,0.3,1.2,1.4
"12363","2810422O20Rik",1,0.6,1.1,0.5,0.3,0.6,1.4
"12364","Hbq1a",0.1,0.6,0.2,0.1,0.1,0.4,0.5
"12365","Ephx2",24.3,0.6,3,0.4,0.9,0.5,0.1
"12366","Als2cl",22.3,0.6,5.5,1.5,0.2,0.9,7.3
"12367","Spem1",0.3,0.6,0.6,0.2,0.1,0.1,0.1
"12368","Hrh1",6.5,0.6,5,1.5,0.3,0.1,0.1
"12369","Rad51c",0.4,0.6,1.4,0.4,0.1,0.4,1
"12370","Glyctk",0.9,0.6,0.5,0.4,0.2,0.2,0.3
"12371","Frem1",1.8,0.6,0.2,0.1,0.1,0.1,3.6
"12372","Vwce",0.2,0.6,0.2,0.1,0.1,0.1,0.1
"12373","Hif3a",2.2,0.6,0.2,0.1,0.1,0.6,0.1
"12374","Zfp217",5.6,0.6,0.5,0.1,0.1,3.2,2.1
"12375","Zscan20",1.7,0.6,1,0.6,0.4,0.4,0.3
"12376","Gm11346",0.1,0.6,0.1,0.1,0.1,0.2,0.1
"12377","Hist1h4i",0.9,0.6,1.5,7.7,13.9,4.4,1.5
"12378","Ldlrap1",0.7,0.6,0.7,13.1,21.5,15.5,18.9
"12379","Gm10125",0.6,0.6,1.3,0.3,0.1,0.3,0.1
"12380","Pnpla7",5.9,0.6,3.3,2,1.5,44,1.7
"12381","Lpar6",7.3,0.6,2.1,0.8,1.6,7.6,22
"12382","A230056P14Rik",0.4,0.6,0.4,1,0.6,0.1,0.1
"12383","Calr3",0.9,0.6,0.6,0.5,0.3,0.3,1.6
"12384","Ehd2",3.2,0.6,1.8,0.4,0.3,0.4,23.5
"12385","Ly96",1.3,0.6,1.3,0.8,0.4,3.3,4.6
"12386","Itga5",9.6,0.6,0.9,0.1,0.1,35.8,30.7
"12387","H2-M3",0.2,0.6,1.2,0.2,0.1,5.9,8.4
"12388","Zscan22",0.8,0.6,1,0.6,0.7,1.4,0.7
"12389","2610020H08Rik",3,0.6,2.8,0.7,0.3,0.6,3
"12390","Ptrf",2.7,0.6,1.4,0.1,0.1,2.3,70.4
"12391","4930507D05Rik",0.3,0.6,0.2,0.3,0.2,0.3,0.2
"12392","Kcnrg",0.6,0.6,0.7,0.6,0.2,0.1,1.3
"12393","Hist1h3e",1.1,0.6,0.4,0.2,0.2,0.1,0.3
"12394","Rorb",9.9,0.6,1.5,0.3,0.1,0.1,0.1
"12395","Stc2",1.7,0.6,0.6,0.4,0.1,0.2,1.2
"12396","Mlf1ip",0.7,0.6,0.7,0.3,0.1,0.1,0.4
"12397","Manba",2.6,0.6,3.1,3,1.8,9,13.9
"12398","Itgb1bp3",0.1,0.6,0.1,0.2,0.1,0.1,0.1
"12399","Selenbp1",6.1,0.6,3.4,0.7,1.1,8.1,1.9
"12400","Frem2",9.6,0.6,0.1,0.1,0.1,0.1,1.1
"12401","1700008O03Rik",0.2,0.6,0.2,0.4,0.4,0.1,0.1
"12402","Trmt2b",3.1,0.6,5.8,4.9,4.1,3.6,3
"12403","Stil",2.1,0.6,1.5,0.2,0.1,0.1,1.2
"12404","Dapp1",8.7,0.6,1.1,0.1,0.1,12.8,0.2
"12405","Zfp773",0.3,0.6,0.7,0.3,0.2,0.2,0.1
"12406","Fam196b",0.1,0.6,3.4,0.4,0.1,0.1,0.1
"12407","Plb1",0.1,0.6,0.2,0.1,0.3,0.3,0.2
"12408","Hacl1",5,0.6,4.3,5.6,4.2,1.2,3.7
"12409","Rab27a",0.2,0.6,2.5,0.3,0.1,4.8,1.2
"12410","3110039I08Rik",0.7,0.6,0.1,0.1,0.1,0.1,0.1
"12411","Setmar",0.8,0.6,1.2,0.6,0.5,0.4,1.3
"12412","Snora23",0.7,0.6,0.3,0.3,0.1,0.1,0.5
"12413","H2-Gs10",2.4,0.6,3.3,0.7,0.3,25.5,47.3
"12414","Prickle3",0.4,0.6,0.3,0.2,0.1,1.3,4.6
"12415","Col20a1",0.7,0.6,3,9.7,1.6,0.2,0.2
"12416","Zfp71-rs1",0.9,0.6,0.7,0.5,0.2,0.2,0.4
"12417","Lsp1",1.3,0.6,1.8,0.3,0.5,29.6,0.6
"12418","Sp5",7.5,0.6,2.7,0.5,0.1,0.1,1.6
"12419","Slit3",0.1,0.6,0.1,0.3,0.1,0.1,0.3
"12420","Sspn",4.1,0.6,5.7,5.9,9,0.3,0.3
"12421","Gstm6",0.9,0.6,0.2,0.1,0.1,0.1,0.1
"12422","Zbtb8os",0.8,0.6,1,1.3,1.3,0.8,1.2
"12423","Airn",3.4,0.6,2.2,1.2,0.2,0.1,2.4
"12424","Gxylt2",0.1,0.6,0.3,0.1,0.1,0.1,0.2
"12425","Ptgr1",1.3,0.6,0.7,0.2,0.2,3.5,0.4
"12426","Pabpc5",0.5,0.6,0.9,0.3,0.1,0.1,0.1
"12427","D3Ertd751e",0.9,0.6,0.8,0.5,0.2,0.1,0.4
"12428","Rad51ap1",1.2,0.6,2.4,0.3,0.1,0.2,9.2
"12429","Rassf10",8.7,0.6,0.5,5.7,1.1,0.1,0.1
"12430","Gpr6",0.1,0.6,0.3,0.3,0.1,0.1,0.1
"12431","Ccdc141",20.7,0.6,0.4,0.1,0.1,0.1,51.1
"12432","Gm6981",0.1,0.6,0.2,0.5,0.6,0.1,0.1
"12433","Ticam1",3.3,0.6,5.3,1.4,0.5,45.2,5
"12434","Stap2",0.7,0.6,0.3,0.2,0.2,0.5,65.9
"12435","Dram1",0.4,0.6,1,0.2,0.1,0.7,0.7
"12436","Tmem132c",0.1,0.6,2.4,0.6,0.1,0.1,0.1
"12437","1700012A16Rik",0.1,0.6,0.2,0.6,0.3,0.1,0.1
"12438","4930528A17Rik",1,0.6,0.4,0.3,0.1,0.1,0.2
"12439","Il3ra",0.4,0.6,0.3,0.6,0.2,2.9,9.2
"12440","Mapk15",0.6,0.6,0.1,0.1,0.1,0.1,0.3
"12441","Tha1",1.9,0.6,1.1,1.2,0.6,3.3,0.3
"12442","Pygl",3.8,0.6,0.4,0.1,0.1,3.3,0.4
"12443","Pde5a",0.7,0.6,0.8,0.2,0.1,0.1,7.1
"12444","Sgcz",0.1,0.6,1.7,0.3,0.1,0.1,0.1
"12445","Slc40a1",1.3,0.6,4.1,0.3,0.3,31.8,150.9
"12446","Fam54a",1,0.6,1.3,0.3,0.1,0.2,1.8
"12447","D1Pas1",0.6,0.6,0.5,0.3,0.1,0.4,0.9
"12448","Pcsk9",1.7,0.6,0.1,0.1,0.1,0.1,0.1
"12449","2810047C21Rik1",0.7,0.6,0.9,1.1,1,0.4,0.6
"12450","Zfp804b",0.1,0.6,0.1,0.1,0.1,0.1,0.1
"12451","Prdm16",9.7,0.6,0.1,0.1,0.1,0.1,1.2
"12452","Hes7",0.4,0.6,0.7,0.1,0.1,1.1,0.1
"12453","Sycp3",0.5,0.6,1.4,0.5,0.1,0.3,0.2
"12454","Acbd7",0.1,0.6,0.2,0.1,0.1,0.1,0.1
"12455","Mterf",2.6,0.6,0.9,0.7,0.3,0.2,0.3
"12456","Kif9",0.5,0.6,0.1,0.4,0.5,0.9,0.3
"12457","Sfn",0.1,0.6,0.1,0.1,0.1,1,0.2
"12458","Lpcat2",0.1,0.6,16.3,4.3,4.3,281.7,0.3
"12459","Il17c",0.1,0.6,0.1,0.3,0.1,0.6,0.3
"12460","Zfp738",1.4,0.6,1.1,0.6,0.2,0.1,0.5
"12461","Dyx1c1",0.6,0.6,0.5,0.4,0.2,0.1,0.1
"12462","Npm3",0.7,0.6,1.9,1.2,0.5,0.6,1.2
"12463","Ifi35",0.3,0.6,0.7,0.4,0.6,17,17
"12464","Spats1",1.1,0.6,1,0.4,0.5,0.1,0.1
"12465","Gdpd3",1.1,0.6,0.2,0.5,0.1,0.8,16.3
"12466","Smad9",1.7,0.6,1,0.5,0.1,0.1,0.1
"12467","Cpa2",0.3,0.6,0.7,0.2,0.2,0.2,0.2
"12468","Entpd1",4.2,0.6,10.4,0.7,0.8,145.3,25.4
"12469","Cd164l2",0.2,0.6,0.2,0.1,0.2,0.2,0.1
"12470","Prss23",0.5,0.6,9.6,3.4,0.2,0.1,12.1
"12471","Svil",3,0.6,6.3,3.1,0.1,1,3.9
"12472","Prx",0.8,0.6,0.7,0.2,0.1,0.2,1
"12473","Klrg2",0.1,0.6,0.1,0.1,0.3,0.5,0.8
"12474","Zfp691",1.5,0.6,3.2,1.5,1.2,26.3,2.1
"12475","Rarres1",7.2,0.6,1.3,0.2,0.1,0.2,3.1
"12476","Cntf",2.1,0.6,0.8,1.3,0.9,0.2,1.8
"12477","Pld4",0.3,0.6,17.5,1,2.4,595.9,0.2
"12478","Ttpa",11.3,0.6,1.8,0.2,0.1,0.1,0.2
"12479","Zbtb7b",5.5,0.6,1.9,9,20.9,23.1,1.8
"12480","Ltk",0.2,0.6,1.3,0.3,0.2,0.4,0.1
"12481","Rhpn2",0.4,0.6,0.6,1.4,3,0.1,1
"12482","1700020D05Rik",0.9,0.6,0.6,0.3,0.1,0.3,0.1
