"","ident","AQP4","SLC1A3","rna_HEPACAM","CD44","NGFR","NCAM1","CD24","rna_FUT4","CXCR4","PDGFRA","rna_ITGB2","rna_ITGB1","rna_TF","NKX2-2","rna_PROM1","MAP2"
"11","Mixed",0,0.0611048266097663,0,0,0.841875048253668,0.246130097160175,4.48537798528123,0,0.411093169597393,0,0,0,0,0,0,1.20627889919101
"12","Astrocytes",0.290188178451053,0.217081017762925,0,0.278826767437138,0.048921733508716,0.520002928380052,2.73347860129675,0,0.136413798728382,0,0,1,0,0.0638931799036807,0,0.663742486621943
"13","Radial Glia - 1",0,0.448467516025615,0,0,0.0410803908740961,-0.0799316732850139,2.41859598396559,0,4.65006582959208,0,0,0,0,0.0105753406254539,0,2.31355317762176
"14","Radial Glia - 1",0,0.135619001058379,0,0,0.147373144645168,0.220345856916561,1.20977991870274,0,0.251230350863767,0,0,0,0,0,0,2.05275900240696
"15","Radial Glia - 1",0,0.0200050130163115,0,9.49112821963548e-05,0.0859117690275353,1.9302341386601,8.44138151948555,0,1.08763019496776,0.0988439439342052,0,0,0,0.00158089225624715,0,4.67770381694696
"16","Neurons - 1",0,0.0167201400360705,0,0,-0.0999173339656395,5.04184886409673,15.7745450099742,0,0.105983887107084,0.0418935167305456,0,0,0,0,0,7.47367610810476
"17","Radial Glia - 2",0,0.00920131799651424,0,0.000978791632959497,-0.297539410417855,-0.189563124659273,8.6832366533562,0,0.29337977550056,0.0849099978857026,0,0,0,0,0,1.30440969225322
"18","Neurons - 1",0,-0.00687587233475595,0,0,0.120534708510619,1.70656622423623,15.2483701497124,0,0.448934741299505,0.00119333643744957,0,1,0,0.00941575275544093,0,1.86493232018666
"19","Radial Glia - 2",0,0.0304908858937805,0,0,0.233671320514615,7.02050822466177,15.814704453171,0,0.24379747310328,0.00436610690879143,0,0,0,0,0,3.48264763564969
"20","Radial Glia - 2",0,-0.020036348323714,0,0.00109353873374421,-0.338574918533262,-0.0121718962646187,8.69069330348744,0,0.465987233864849,0.0981899163510122,0,0,0,0,0,2.15448465902171
"21","Radial Glia - 1",0,0.150892529933647,0,0.0119569027972908,0.225705822815559,1.18387988854301,8.89712135171395,0,2.0369634977543,0,0,0,0,0,0,1.01920678104106
"22","Neurons - 2",0,-0.228366877964142,0,-0.0192661526635303,0.0746226770229633,2.83139735482609,15.4056915500058,0,0.808846058219666,0.0150247474875203,0,0,0,0.0130599540569672,0,5.85022741356909
"23","Radial Glia - 2",0,0.115803067785841,0,0,0.329554543433544,0.0361261380628426,7.15828494991657,0,0.00360701096300174,0,0,0,0,0,0,2.7037818140857
"24","Mixed",0,0.0426975924997437,0,0,1.86868627102849,6.84656266292154,25.2151746784614,0,0.15982519626139,0,0,0,0,0,0,3.92424579280132
"25","Radial Glia - 2",0,-0.000458786369848986,0,8.21395387303944e-05,-0.239246570962486,3.94263020428067,10.8443269244149,0,0.588104516911833,0.0753587532311761,0,0,0,0.0199108821062124,0,3.54881149768082
"26","Radial Glia - 1",0.144988059061068,0.138150041542892,0,0.0676831024362937,-0.142520833409063,0.00652947496230987,1.94714252743974,0,3.19155229680735,0,0,4,0,0.00502924589102981,0,0.863787863660893
"27","Mixed",0,0.000350001299121991,0,0,-0.0682897747174867,0.155263534177618,1.89184984174929,0,0.163614043832034,0,0,1,0,0,0,0.190476560880916
"28","Mixed",0,0.00875828534953651,0,0.00991746785731964,-0.688197132431272,-0.0187889854955472,2.79596664705498,0,1.49183947506866,0,0,3,0,0.0131744853719578,0,0.539663811461119
"29","Astrocytes",0.503307847896901,2.91600329384498,0,1.02897791589135,0.0304836313705779,5.01198366830869,9.73467614590106,0,1.79295812025083,-0.587812471192863,0,5,0,0.0640160648510449,0,8.27697075837776
